id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
183,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",25-04-2023 02:00:00,SO2,33,36,35,NA
184,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",25-04-2023 02:00:00,CO,14,86,29,NA
185,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",25-04-2023 02:00:00,OZONE,37,129,73,NA
186,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",25-04-2023 02:00:00,PM2.5,32,74,51,NA
187,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",25-04-2023 02:00:00,PM10,48,91,69,NA
188,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",25-04-2023 02:00:00,NO2,19,33,26,NA
189,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",25-04-2023 02:00:00,NH3,1,5,3,NA
190,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",25-04-2023 02:00:00,SO2,2,15,5,NA
191,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",25-04-2023 02:00:00,CO,6,42,34,NA
192,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",25-04-2023 02:00:00,OZONE,5,80,58,NA
193,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25-04-2023 02:00:00,PM2.5,23,78,50,NA
194,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25-04-2023 02:00:00,PM10,59,109,85,NA
195,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25-04-2023 02:00:00,NO2,28,67,39,NA
196,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25-04-2023 02:00:00,NH3,1,14,10,NA
197,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25-04-2023 02:00:00,SO2,4,16,9,NA
