Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate
2021-09-30T00:00:00,450257,Ontario,Clifton Springs,14432,New York State Electric & Gas,New York State Electric & Gas,2020-07-21T00:00:00,915,Natural Gas,"1,440",1,Home Performance,Mobile,Building Shell,300,10,124
2021-09-30T00:00:00,469884,Cortland,Mcgraw,13101,NA,National Grid,2021-06-15T00:00:00,5591,Oil,Report SF less than 800,1,Home Performance,Single Family,Building Shell,1088,24,510
2021-09-30T00:00:00,500632,Oneida,Deansboro,13328,New York State Electric & Gas,New York State Electric & Gas,2021-08-10T00:00:00,9001,Natural Gas,"1,600",1,Home Performance,Single Family,Building Shell,158,35,362
2021-09-30T00:00:00,432592,Oswego,Constantia,13044,NA,National Grid,2020-02-04T00:00:00,4609,Oil,"1,120",1,Home Performance,Single Family,Building Shell,539,16,346
2021-09-30T00:00:00,496757,Bronx,The Bronx,10460,Consolidated Edison,Consolidated Edison,2021-03-25T00:00:00,561,Natural Gas,"1,089",1,Electric Reduction,Single Family,Building Shell,443,1,116
2021-09-30T00:00:00,509390,Monroe,Hilton,14468,Rochester Gas & Electric,Rochester Gas & Electric,2021-09-28T00:00:00,6972,Natural Gas,"1,824",1,Home Performance,Single Family,Building Shell,510,32,335
2021-09-30T00:00:00,410331,Niagara,Middleport,14105,National Grid,National Grid,2020-01-31T00:00:00,3017,Electric,"1,748",1,Home Performance,Single Family,Building Shell,0,7,157
2021-09-30T00:00:00,479778,Kings,Brooklyn,11210,NA,Consolidated Edison,2021-01-05T00:00:00,9992,Oil,"1,548",1,Home Performance,Single Family,Building Shell,510,66,1378
2021-09-30T00:00:00,452109,Monroe,Rochester,14611,Rochester Gas & Electric,Rochester Gas & Electric,2020-02-04T00:00:00,4243,Natural Gas,"1,458",1,Home Performance,Single Family,Building Shell,510,31,310
2021-09-30T00:00:00,476326,Broome,Endicott,13760,New York State Electric & Gas,New York State Electric & Gas,2021-01-19T00:00:00,6309,Natural Gas,"1,176",1,Home Performance,Single Family,Building Shell,0,27,258
