TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,DBH,PlotSize,XCoord,YCoord,Latitude,Longitude,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
269254,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,198 Valencia St,2,Sidewalk: Curb side : Cutout,Tree,Private,3,3X3,6006027.212,2108592.427,37.77013378,-122.4224947,8,2,5,28853,19,20
6664,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,12,Sidewalk: Curb side : Cutout,Tree,DPW,6,3X3,6015978.922,2098355.835,37.74258264,-122.3873573,10,3,8,58,1,1
149942,DPW Maintained,Lophostemon confertus :: Brisbane Box,1140 Illinois St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6016082.209,2103827.363,37.75761204,-122.3873818,10,3,8,28856,29,26
269586,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,555 23rd St,3,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6016722,2102848,37.75495833,-122.3851008,10,3,8,28856,29,26
260489,Undocumented,Platanus x hispanica :: Sycamore: London Plane,1868 Van Ness Ave,3,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006172,2116875,37.79288386,-122.4225825,13,9,10,28858,32,32
269603,Permitted Site,Quercus spp :: Oak,65 Chenery St,1,Sidewalk: Property side : Cutout,Tree,Private,3,NA,6004910.912,2097871.829,37.74063448,-122.4255928,2,7,5,63,7,10
149943,DPW Maintained,Lophostemon confertus :: Brisbane Box,1140 Illinois St,2,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6016083.292,2103808.664,37.75756076,-122.3873767,10,3,8,28856,29,26
82303,DPW Maintained,Platanus occidentalis :: American sycamore,1550 Evans Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,4,NA,6016177.266,2098207.305,37.74218579,-122.3866611,10,3,8,58,1,1
44073,DPW Maintained,Hakea suaveolens :: Sweet Hakea Tree,1350 Lake St,1,Sidewalk: Curb side : Cutout,Tree,Private,11,NA,5991224.724,2114799.364,37.78633014,-122.4741488,11,6,1,54,33,33
6659,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,7,Sidewalk: Curb side : Cutout,Tree,DPW,3,3X3,6016081.588,2098278.963,37.74237726,-122.3869969,10,3,8,58,1,1
149944,DPW Maintained,Lophostemon confertus :: Brisbane Box,1140 Illinois St,3,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6016110,2103604,37.75700027,-122.3872701,10,3,8,28856,29,26
188619,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,3601 03rd St,17,Sidewalk: Curb side : Cutout,Tree,Private,18,Width 3ft,6015998.576,2098868.239,37.74399069,-122.3873251,10,3,8,58,1,1
260490,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,1799 Washington St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006327,2116970,37.79315345,-122.4220529,13,9,10,28858,32,32
269558,DPW Maintained,Potential Site :: Potential Site,401x 05th St,2,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6012354,2111402,37.77820311,-122.4008077,14,2,9,28856,34,34
269585,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,555 23rd St,2,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6016722,2102848,37.75495833,-122.3851008,10,3,8,28856,29,26
269557,DPW Maintained,Potential Site :: Potential Site,401x 05th St,1,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6012354,2111402,37.77820311,-122.4008077,14,2,9,28856,34,34
269555,DPW Maintained,Potential Site :: Potential Site,1x Oak Grove St,2,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6011811,2111401,37.77817006,-122.402686,14,2,9,28856,34,34
149946,DPW Maintained,Lophostemon confertus :: Brisbane Box,1178 Illinois St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6016093.978,2103641.961,37.75710362,-122.3873281,10,3,8,28856,29,26
188615,DPW Maintained,Lophostemon confertus :: Brisbane Box,3601 03rd St,12,Sidewalk: Curb side : Cutout,Tree,Private,14,Width 3ft,6015970.207,2098765.172,37.74370612,-122.387416,10,3,8,58,1,1
269588,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,555 23rd St,5,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6016722,2102848,37.75495833,-122.3851008,10,3,8,28856,29,26
